Place,total_incidents,avg_incident_risk,high_severity_count,frequency_norm,severity_norm,composite_risk_index,safety_score,risk_tier,kmeans_tier,lat,lon
Jaitala,5,3.4420171256664247,0,0.0,0.0,0.0,100.0,Very Safe,Very Safe,21.16,79.025
Chaoni,7,3.667882351653769,0,0.08695652173913046,0.02242334174917715,0.048236613745158474,93.9,Very Safe,Very Safe,21.167,79.078
Rajendra Nagar,7,3.8507195932879514,0,0.08695652173913046,0.04057497149084388,0.05912759159015851,92.5,Very Safe,Very Safe,21.145,79.06
Hawrapeth,7,3.982683844576305,0,0.08695652173913046,0.053676056407203854,0.0669882425399745,91.5,Very Safe,Very Safe,21.152,79.102
Indora,7,4.784234806728297,0,0.08695652173913046,0.13325205609970614,0.11473384235547587,85.5,Very Safe,Very Safe,21.17,79.095
Suyog Nagar,13,3.9837570128756963,0,0.34782608695652173,0.05378259790524298,0.17139999352575447,78.3,Safe,Very Safe,21.14,79.12
Subhash Nagar,9,5.203482570619853,0,0.17391304347826084,0.17487393855736894,0.1744895805257257,77.9,Safe,Very Safe,21.135,79.1
Bhandewadi,7,6.992025426892027,0,0.08695652173913046,0.3524360556292883,0.24624424207322518,68.9,Safe,Very Safe,21.125,79.135
Vayusena Nagar,7,7.49061347782291,1,0.08695652173913046,0.4019346458137984,0.2759433961839312,65.1,Safe,Very Safe,21.1,79.05
Yashodhara Nagar,13,6.039472157044249,1,0.34782608695652173,0.25786891980427334,0.2938517866651727,62.9,Moderate,Safe,21.135,79.125
Mominpura,11,7.511235130667495,2,0.26086956521739135,0.4039819125727501,0.3467369736306066,56.2,Moderate,Safe,21.16,79.105
Wadi,14,6.6316091818756435,1,0.39130434782608703,0.3166548210517692,0.34651463176149633,56.2,Moderate,Safe,21.165,79.03
Jaripatka,16,6.1354208633130645,1,0.4782608695652174,0.26739447036944813,0.3517410300477558,55.5,Moderate,Safe,21.18,79.1
Gaddi Godam,16,6.216786709496324,2,0.4782608695652174,0.2754722706049763,0.35658771018907276,54.9,Moderate,Safe,21.158,79.105
MIDC,14,6.847873093147947,3,0.39130434782608703,0.3381249679912733,0.3593967199251988,54.6,Moderate,Safe,21.11,79.065
Kalyan Nagar,18,5.7413841848242795,1,0.5652173913043478,0.22827548219922073,0.36305224584127155,54.1,Moderate,Safe,21.16,79.125
Sakkardara,17,6.23307835044857,2,0.5217391304347826,0.27708966447838096,0.37494945086094167,52.6,Moderate,Safe,21.12,79.12
Khapri,14,7.221339933570383,2,0.39130434782608703,0.3752018334457497,0.38164283919788466,51.8,Moderate,Safe,21.06,79.05
Beltarodi,21,5.296062331819243,1,0.6956521739130435,0.18406502857734147,0.38869988671162226,50.9,Moderate,Moderate,21.087,79.053
Civil Lines,18,6.480925104953359,1,0.5652173913043478,0.30169527808442015,0.4071041233723912,48.6,Risky,Safe,21.155,79.082
Kapil Nagar,19,6.3352985238359185,2,0.6086956521739131,0.2872378308085672,0.41582095935470553,47.5,Risky,Safe,21.12,79.14
Pipla,14,7.937814739237626,3,0.39130434782608703,0.446331682460454,0.4243207486067072,46.4,Risky,Safe,21.07,79.11
Kalmeshwar,10,9.131331638351075,2,0.21739130434782608,0.5648210922190797,0.42584917707057823,46.2,Risky,Risky,21.23,78.92
Pratap Nagar,17,7.253766562424739,2,0.5217391304347826,0.3784210690646746,0.43574829361271783,44.9,Risky,Safe,21.13,79.06
Manish Nagar,20,6.433248942860928,3,0.6521739130434783,0.2969621064719487,0.4390468291005605,44.5,Risky,Moderate,21.115,79.048
Hudkeshwar,12,8.94577563077128,3,0.30434782608695654,0.5463995501096812,0.44957886050059137,43.2,Risky,Risky,21.095,79.035
Ashok Nagar,10,9.66619757890619,2,0.21739130434782608,0.6179212616791383,0.4577092787466134,42.2,Risky,Risky,21.135,79.095
Kotwali,15,8.26261983931931,3,0.4347826086956522,0.4785775305283429,0.46105956179526664,41.7,Risky,Safe,21.152,79.108
Mankapur,7,10.604856577986855,2,0.08695652173913046,0.7111090086212268,0.4614480138683883,41.7,Risky,Risky,21.185,79.07
Gandhinagar,13,8.849301381068543,3,0.34782608695652173,0.5368218248904786,0.46122352971689584,41.7,Risky,Risky,21.11,79.07
Wardhaman Nagar,15,8.39161142612709,3,0.4347826086956522,0.4913834966575494,0.4687431414727905,40.8,Risky,Safe,21.165,79.12
Bajaj Nagar,17,7.951964276987366,2,0.5217391304347826,0.4477364136189063,0.47733750034525685,39.7,Risky,Safe,21.1225,79.057
Gokulpeth,13,9.426086739344807,4,0.34782608695652173,0.5940836506009797,0.49558062514319645,37.4,Risky,Risky,21.143,79.073
Khaparkheda,6,11.555835672205001,3,0.043478260869565216,0.8055198641779437,0.5007032228545923,36.7,Risky,Risky,21.28,79.0
Sadar,23,6.640110938996327,3,0.782608695652174,0.31749885449938037,0.5035427909604978,36.4,Risky,Moderate,21.158,79.078
Tehsil,18,8.112808819087261,3,0.5652173913043478,0.4637046624727514,0.5043097540053899,36.3,Risky,Safe,21.15,79.108
Hingna,19,8.004328884991628,3,0.6086956521739131,0.4529350425610484,0.5152392864061943,34.9,High Risk,Safe,21.115,79.01
Ravi Nagar,26,6.01265613934487,2,0.9130434782608695,0.25520669180261163,0.5183414063859149,34.5,High Risk,Moderate,21.13,79.068
Gitti Khadan,9,10.985699047718088,3,0.17391304347826084,0.7489181083356848,0.5189160823927152,34.4,High Risk,Risky,21.175,79.085
Bajeria,19,8.066130424600738,4,0.6086956521739131,0.4590705467637097,0.518920588927791,34.4,High Risk,Safe,21.159,79.117
Nandanvan,21,7.536805674749355,4,0.6956521739130435,0.406520493029983,0.5221731653832071,34.0,High Risk,Moderate,21.12,79.115
Mangalwari,21,7.719375144469679,3,0.6956521739130435,0.4246455390374381,0.5330481929876802,32.6,High Risk,Moderate,21.15,79.098
Sonegaon,13,10.077080915466228,3,0.34782608695652173,0.6587127444514538,0.534358081453481,32.5,High Risk,Risky,21.105,79.048
Itwari,23,7.202988312835074,3,0.782608695652174,0.3733799298676302,0.5370714361814477,32.1,High Risk,Moderate,21.158,79.108
Ramdaspeth,27,6.593219811924824,4,0.9565217391304347,0.31284361922475107,0.5703148671870246,27.9,High Risk,Moderate,21.142,79.078
Sitabuldi,16,9.911018117822064,5,0.4782608695652174,0.6422264400762587,0.5766402118718421,27.1,High Risk,Risky,21.148,79.081
Byramji Town,10,11.676425752555861,5,0.21739130434782608,0.8174917494978184,0.5774515714378214,27.0,High Risk,Risky,21.165,79.07
Gandhibagh,16,10.114399301333483,4,0.4782608695652174,0.662417621623985,0.5887549208004779,25.6,High Risk,Risky,21.155,79.115
Shraddhanand Peth,28,6.886617629975219,3,1.0,0.34197142990852375,0.6051828579451143,23.5,High Risk,Moderate,21.15,79.098
Trimurti Nagar,16,10.566002241332892,5,0.4782608695652174,0.707251646048388,0.6156553354551197,22.2,High Risk,Risky,21.135,79.05
Mahal,20,9.587986263357744,5,0.6521739130434783,0.6101566354533472,0.6269635464893997,20.8,High Risk,High Risk,21.156,79.115
Godhni,12,11.954549448701256,4,0.30434782608695654,0.8451031830859261,0.6288010402863382,20.5,High Risk,Risky,21.05,79.045
Giripeth,17,10.981101338735133,6,0.5217391304347826,0.7484616591441928,0.6577726476604288,16.9,High Risk,Risky,21.135,79.072
Ajni,24,9.359982808980373,6,0.8260869565217391,0.58752101567103,0.6829473920113136,13.7,High Risk,High Risk,21.1265,79.087
Friends Colony,23,9.866851590217156,5,0.782608695652174,0.6378416963069156,0.6957484960450189,12.1,High Risk,High Risk,21.105,79.065
Dharampeth,27,8.718455049968556,6,0.9565217391304347,0.5238317243291579,0.6969077302496687,11.9,High Risk,High Risk,21.142,79.068
Besa,13,12.974633807932763,6,0.34782608695652173,0.9463746386632452,0.7069552179805558,10.7,High Risk,Risky,21.098,79.085
Seminary Hills,16,12.478207965009265,7,0.4782608695652174,0.897090707149057,0.7295587721155211,7.8,High Risk,Risky,21.17,79.062
Imambada,22,11.062996686400616,8,0.7391304347826088,0.7565920269790083,0.7496073901004485,5.3,High Risk,High Risk,21.16,79.11
Lakadganj,25,10.331286321958114,7,0.8695652173913043,0.6839496293209086,0.758195864549067,4.2,High Risk,High Risk,21.165,79.115
Pachpaoli,24,10.82614380078063,8,0.8260869565217391,0.7330778575210088,0.770281497121301,2.7,High Risk,High Risk,21.165,79.108
Pardi,27,10.120116358226694,7,0.9565217391304347,0.662985196911219,0.7803998137989053,1.4,High Risk,High Risk,21.175,79.06
Ganeshpeth,16,13.514789886917894,9,0.4782608695652174,1.0,0.7913043478260869,0.0,High Risk,Risky,21.148,79.085
